rating,comm,date,playtime,comm_ready,rating_bool
Recommended,"Ну да,крутяк",Posted: 21 Apr @ 3:06am,13.1 hrs last two weeks / 13.1 hrs on record,да крутяк,1
Recommended,Игра как наркота вызывает зависимость,Posted: 21 Apr @ 3:04am,32.9 hrs last two weeks / 125.9 hrs on record(123.5 hrs at review time),игра наркота вызывать зависимость,1
Recommended,топовая игра,Posted: 21 Apr @ 3:01am,17.7 hrs last two weeks / 428.7 hrs on record(428.6 hrs at review time),топовый игра,1
Not Recommended, для спермоглотов,Posted: 21 Apr @ 2:59am,3.4 hrs last two weeks / 8.2 hrs on record(7.5 hrs at review time),спермоглот,0
Recommended,ьл,Posted: 21 Apr @ 2:49am,6.3 hrs last two weeks / 40.7 hrs on record,ьл,1
Recommended,классика уже не та но играть можно),Posted: 21 Apr @ 2:47am,0.0 hrs last two weeks / 15.5 hrs on record,классика играть можно,1
Recommended,всё понравилось,Posted: 21 Apr @ 2:47am,6.2 hrs last two weeks / 13.1 hrs on record(12.5 hrs at review time),понравиться,1
Recommended,каждый раунд- кибер спорт!!,Posted: 21 Apr @ 2:45am,22.9 hrs last two weeks / 194.2 hrs on record(191.3 hrs at review time),раунд кибер спорт,1
Not Recommended,игра без античита если хорошо играешь кикают за читы,Posted: 21 Apr @ 2:39am,234.8 hrs last two weeks / 595.4 hrs on record(592.5 hrs at review time),игра античита играть кикать чита,0
Not Recommended,ебань а не игра,Posted: 21 Apr @ 2:37am,"38.5 hrs last two weeks / 1,228.4 hrs on record(1,227.8 hrs at review time)",ебанить игра,0
Not Recommended,Тиммейты абибосы,Posted: 21 Apr @ 2:35am,"16.1 hrs last two weeks / 1,008.6 hrs on record(1,008.0 hrs at review time)",тиммейт абибосой,0
Recommended,плаки плаки,Posted: 21 Apr @ 2:34am,6.8 hrs last two weeks / 6.8 hrs on record(5.7 hrs at review time),плак плак,1
Recommended,Топ,Posted: 21 Apr @ 2:31am,38.5 hrs last two weeks / 93.3 hrs on record(93.0 hrs at review time),топ,1
Recommended,Здесь очень хорошие игроки. Они с уважением относятся к вашим родственникам.,Posted: 21 Apr @ 2:29am,51.3 hrs last two weeks / 579.5 hrs on record(575.8 hrs at review time),хороший игрок уважение относиться ваш родственник,1
Not Recommended,100 ФРС мало,Posted: 21 Apr @ 2:19am,19.2 hrs last two weeks / 242.2 hrs on record,100 фрс,0
Not Recommended,R.I.PЕсли у вас нет читов даже не вздумайте качать эту помойку,Posted: 21 Apr @ 2:15am,6.4 hrs last two weeks / 112.9 hrs on record,pести чит вздумать качать помойка,0
Recommended,игра топ рекомендую,Posted: 21 Apr @ 2:13am,1.8 hrs last two weeks / 92.5 hrs on record(92.3 hrs at review time),игра топ рекомендовать,1
Recommended,Неплохо ,Posted: 21 Apr @ 2:13am,2.2 hrs last two weeks / 16.6 hrs on record,неплохо,1
Recommended,коктель молотова в стендофф два,Posted: 21 Apr @ 2:09am,3.3 hrs last two weeks / 111.0 hrs on record,коктель молотов стендофф,1
Recommended,НЕ ТРАТЕ ВРЕМЯ ЗРЯ,Posted: 21 Apr @ 2:08am,2.9 hrs last two weeks / 9.7 hrs on record(8.9 hrs at review time),трата зря,1
Recommended,"Мда разрабы решили под дверь нам насрать выпустив такое дерьмо что аж симпл карьеру закончил. ничего не регает, у моих друзей с тостерами лагает, и еще античит на костылях стоит. рекомендую потому что кс го мы больше не увидем есть только это. А ведь так все ждали кс 2",Posted: 21 Apr @ 2:10am,8.9 hrs last two weeks / 554.2 hrs on record,мда разраб решить насрать выпустить дерьмо аж симпл карьера закончить регаета мой друг тостер лагаета античит костыль стоить рекомендовать кс го увидти это ждать кс,1
Recommended,Хуита голимая,Posted: 21 Apr @ 2:04am,44.1 hrs last two weeks / 183.0 hrs on record,хуит голимый,1
Recommended,давид сенли пиндос,Posted: 21 Apr @ 1:55am,6.7 hrs last two weeks / 203.5 hrs on record(201.3 hrs at review time),давид сенли пиндос,1
Recommended,норм,Posted: 21 Apr @ 1:55am,2.7 hrs last two weeks / 442.8 hrs on record(442.5 hrs at review time),норма,1
Recommended,"Разрабы молодцы, стараются изо всех сил сделать античит. Мы все в курсе насколько это сложно для такой небольшой студии как Valve (к тому же стоит учитывать, что CS бесплатная игра и выручки с нее мало), поэтому желаем им успехов!",Posted: 21 Apr @ 1:55am,14.5 hrs last two weeks / 112.2 hrs on record(111.5 hrs at review time),разраб молодец стараться из сила античит курс насколько сложно небольшой студия valve стоить учитывать cs бесплатный игра выручка мало поэтому желать успех,1
Recommended,тьлоб,Posted: 21 Apr @ 1:53am,2.9 hrs last two weeks / 17.6 hrs on record(16.4 hrs at review time),тьлоб,1
Recommended,ЕБЕЙШАЯ  КАЧАЮ  2 ДНЯ ,Posted: 21 Apr @ 1:50am,0.0 hrs last two weeks / 3.0 hrs on record,ебый качать день,1
Recommended,"Не считая читеров, плохой оптимизации, не рабочей системой VAC, которая банит не виновных, багов, и 90% игры - всё хорошо.",Posted: 21 Apr @ 1:42am,30.3 hrs last two weeks / 202.7 hrs on record,считать читер плохой оптимизация рабочий система vac банить виновный баг 90 игра хорошо,1
Recommended,пиу пиу пау,Posted: 21 Apr @ 1:41am,0.4 hrs last two weeks / 549.1 hrs on record,пиу пиу пау,1
Recommended,"Игра классная, но оптимизация хромает. Раньше было лучше",Posted: 21 Apr @ 1:38am,0.0 hrs last two weeks / 30.1 hrs on record,игра классный оптимизация хромать,1
Recommended,Я узнал где моя мать и у меня сгорел комп(,Posted: 21 Apr @ 1:35am,3.6 hrs last two weeks / 117.9 hrs on record(114.3 hrs at review time),узнать сгореть комп,1
Recommended,много узнал о сибе и родителях,Posted: 21 Apr @ 1:34am,8.6 hrs last two weeks / 51.8 hrs on record,узнать сиб родитель,1
Recommended,"читеры читеры и еще раз читеры, это все что есть в этой крутой игре",Posted: 21 Apr @ 1:31am,21.8 hrs last two weeks / 71.0 hrs on record(67.0 hrs at review time),читер читер читер крутой игра,1
Recommended,"ВАЛВЕ - ИДИОТЫ, ПОТОМУ ЧТО НЕ ИЗБАВЛЯЮТСЯ ОТ ЧИТЕРОВ ГНИЛЬНЫХ",Posted: 21 Apr @ 1:27am,12.2 hrs last two weeks / 175.2 hrs on record(173.8 hrs at review time),валва идиот избавляться читер гнильный,1
Recommended,а,Posted: 21 Apr @ 1:26am,25.6 hrs last two weeks / 76.1 hrs on record(75.2 hrs at review time),,1
Recommended,игра классная (была),Posted: 21 Apr @ 1:24am,17.4 hrs last two weeks / 296.5 hrs on record(295.2 hrs at review time),игра классный быть,1
Recommended,"тима пиво, 9 из 10 из-за отсутствия анти чита",Posted: 21 Apr @ 1:23am,18.1 hrs last two weeks / 201.7 hrs on record(198.0 hrs at review time),тим пиво 10 из за отсутствие анти чита,1
Recommended,Отличный онлайн шутер от первого лица. Настоятельно рекомендую!,Posted: 21 Apr @ 1:21am,"82.9 hrs last two weeks / 1,030.3 hrs on record",отличный онлайн шутереть первый лицо настоятельно рекомендовать,1
Recommended,говнище...рекомендую,Posted: 21 Apr @ 1:20am,15.7 hrs last two weeks / 545.6 hrs on record,говнищий рекомендовать,1
Not Recommended,ая,Posted: 21 Apr @ 1:19am,6.4 hrs last two weeks / 23.7 hrs on record(22.8 hrs at review time),ая,0
Recommended,щкребеде,Posted: 21 Apr @ 1:17am,20.0 hrs last two weeks / 861.2 hrs on record(859.8 hrs at review time),щкребеда,1
Recommended,"У игры большой потенциал в будущем, но в данный момент она сильно не доделоная из зи чего остаются отрицательные эмоции",Posted: 21 Apr @ 1:08am,49.8 hrs last two weeks / 820.2 hrs on record(820.1 hrs at review time),игра потенциал будущее данный момент сильно доделонай зи оставаться отрицательный эмоция,1
Recommended,"Игра сложная но надо учиться спреить мне до сих пор сложно этому научится а так, всем советую",Posted: 21 Apr @ 1:07am,58.3 hrs last two weeks / 218.2 hrs on record(217.3 hrs at review time),игра сложный учиться спреить сложно научиться так советовать,1
Recommended,Не могу понять почему античит не может во время катки человека с крутилкой забанить это уже со времен динозавров эта  не может никого забанить. Но кс 1 было лучше !,Posted: 21 Apr @ 1:00am,15.5 hrs last two weeks / 84.6 hrs on record(81.7 hrs at review time),античит каток человек крутилка забанить время динозавр никто забанить кс,1
Recommended,Ингредиенты для блинов:молоко 500 мляйца 3 шт.мука 200 гмасло сливочное (или растительное) 30 г (2 ст. ложки)сахар 30 г (2 ст. ложки)соль 2-3 г (1/2 ч. ложки),Posted: 21 Apr @ 12:57am,26.0 hrs last two weeks / 65.9 hrs on record(65.1 hrs at review time),ингредиент блин молоко 500 мляйцо шт мука 200 гмасло сливочный или растительный 30 ст ложка сахар 30 ст ложка соль ложка,1
Recommended,"Узнал много нового о себе и о своих родителях, в целом норм!",Posted: 21 Apr @ 12:47am,12.1 hrs last two weeks / 12.1 hrs on record(8.5 hrs at review time),узнать новый родитель целое норма,1
Recommended,", советую даунам",Posted: 21 Apr @ 12:47am,2.2 hrs last two weeks / 237.9 hrs on record,советовать даун,1
Recommended,топ,Posted: 21 Apr @ 12:46am,3.5 hrs last two weeks / 51.7 hrs on record,топ,1
Recommended,зашёл на час и в бан,Posted: 21 Apr @ 12:40am,"0.1 hrs last two weeks / 1,349.4 hrs on record(1,349.3 hrs at review time)",зайти бан,1
Recommended,игра говна,Posted: 21 Apr @ 12:38am,35.4 hrs last two weeks / 743.6 hrs on record(741.3 hrs at review time),игра говно,1
Recommended,интересная игра!,Posted: 21 Apr @ 12:34am,4.7 hrs last two weeks / 14.7 hrs on record,интересный игра,1
Recommended,Играл в ксго и потом обновился до кс2 и понял что потратил время в пустую,Posted: 21 Apr @ 12:33am,0.9 hrs last two weeks / 594.3 hrs on record,играть ксго обновиться кс2 понять потратить пустой,1
Recommended,имба,Posted: 21 Apr @ 12:32am,22.8 hrs last two weeks / 22.8 hrs on record(21.4 hrs at review time),имб,1
Recommended,значит играю я в мм проигрываем катку к сожелению но у меня было 20+ убийств в катке еще челик попался который руинил ее мы его кикнули и вот я в главном меню А ТАМ БАН НА 7 ДНЕЙ ЗА КИК ЧЕЛОВЕКОВ НАХУУУЙ,Posted: 21 Apr @ 12:27am,21.1 hrs last two weeks / 51.0 hrs on record(49.8 hrs at review time),играть мм проигрывать каток сожеление 20 убийство каток челик попасться руинил кикнуть главный меню бан день кик человек нахууовать,1
Recommended,полное проникновение при игре,Posted: 21 Apr @ 12:22am,25.2 hrs last two weeks / 558.0 hrs on record(555.2 hrs at review time),полный проникновение игра,1
Recommended,прикольно так и нужна внимательность,Posted: 21 Apr @ 12:20am,3.6 hrs last two weeks / 165.2 hrs on record(163.9 hrs at review time),прикольно нужный внимательность,1
Not Recommended,я  эту вашу игру так как я убил все свои нервы и стал аутистом,Posted: 21 Apr @ 12:14am,1.2 hrs last two weeks / 185.6 hrs on record(185.4 hrs at review time),ваш игра убить нерв аутист,0
Recommended,д,Posted: 21 Apr @ 12:10am,5.9 hrs last two weeks / 5.9 hrs on record(5.7 hrs at review time),,1
Not Recommended,"Надеюсь, читеров в игре станет еще больше (хотя куда уже больше), чтобы даже до самых терпеливых и лояльных игроков дошло, что играть в это невозможно, разве что на фейсите. Я уже молчу про то, что CS2 это в принципе сырая и лениво сделанная игра. Такое чувство, что CS перевели на новый движок только для того,  чтобы скинчики и наклеечки красивее смотрелись. Не играйте в это.",Posted: 21 Apr @ 12:02am,25.8 hrs last two weeks / 954.4 hrs on record(951.9 hrs at review time),надеяться читер игра стать хотя большой самый терпеливый лояльный игрок дойти играть невозможно фейсит молчать то cs2 принцип сырой лениво сделать игра чувство cs перевести движок тот скинчик наклеечка красивый смотреться играть это,0
Not Recommended,что бы получать еженедельный дроп - нужно заплатить 1400р за прайм,Posted: 20 Apr @ 11:48pm,1.5 hrs last two weeks / 9.9 hrs on record(9.4 hrs at review time),получать еженедельный дроп заплатить 1400р прайма,0
Recommended,Хорошая игра иногда залипаю),Posted: 20 Apr @ 11:40pm,21.4 hrs last two weeks / 754.1 hrs on record(748.7 hrs at review time),хороший игра залипать,1
Recommended,"Без премки - так, пострелятьС премкой - Деньги, деньги, дребеденьги,Позабыв покой и лень,Делай деньги, делай деньги,А остальное всё - дребедень!А остальное всё - дребедедень!",Posted: 20 Apr @ 11:28pm,6.6 hrs last two weeks / 11.7 hrs on record,прёмкий так пострелятьс прёмкий деньга деньга дребеденьга позабыть покой лень делать деньга делать деньга остальной дребедень остальной дребедедень,1
Recommended,Прикольно.,Posted: 20 Apr @ 11:21pm,7.4 hrs last two weeks / 99.5 hrs on record(95.6 hrs at review time),прикольно,1
Recommended,"крута игра. можно потеть, а можно играть с друзьями. сильверы  потничи.",Posted: 20 Apr @ 11:20pm,35.5 hrs last two weeks / 530.4 hrs on record(523.0 hrs at review time),крутой игра потеть играть друг сильвер потнич,1
Recommended,советую,Posted: 20 Apr @ 11:17pm,3.4 hrs last two weeks / 33.3 hrs on record,советовать,1
Recommended," игра, особенно ноускопчики и на фейсите выебал симпла",Posted: 20 Apr @ 11:16pm,12.5 hrs last two weeks / 163.5 hrs on record(160.8 hrs at review time),игра ноускопчик фейсит выебал симпл,1
Not Recommended,Лучше кс го вернули бы,Posted: 20 Apr @ 11:13pm,0.1 hrs last two weeks / 61.4 hrs on record,кс го вернуть,0
Not Recommended,Зачем?,Posted: 20 Apr @ 11:02pm,"7.1 hrs last two weeks / 2,851.5 hrs on record(2,851.1 hrs at review time)",зачем,0
Recommended,"Топовая игра , советую поиграть если впервые играешь . За год игры можешь остаться без мамным или найти себе отчима XD",Posted: 20 Apr @ 11:00pm,11.3 hrs last two weeks / 226.1 hrs on record(225.0 hrs at review time),топовый игра советовать поиграть впервые играть игра мочь мамный отчим xd,1
Recommended,10 читеров из 10,Posted: 20 Apr @ 10:47pm,30.4 hrs last two weeks / 187.7 hrs on record(187.6 hrs at review time),10 читер 10,1
Not Recommended,"Не рекомендую игру, анти-чит отсутствует, патруль отсутствует. Возможно вернусь, как решат вопрос",Posted: 20 Apr @ 10:46pm,10.2 hrs last two weeks / 913.9 hrs on record(912.8 hrs at review time),рекомендовать игра анти чит отсутствовать патруль отсутствовать возможно вернуться решить,0
Recommended,е,Posted: 20 Apr @ 10:39pm,16.5 hrs last two weeks / 39.6 hrs on record(35.3 hrs at review time),,1
Recommended,п,Posted: 20 Apr @ 10:32pm,2.0 hrs last two weeks / 20.8 hrs on record(19.9 hrs at review time),,1
Not Recommended,много читеров!,Posted: 20 Apr @ 10:31pm,11.9 hrs last two weeks / 37.0 hrs on record(35.8 hrs at review time),читер,0
Recommended,ван лове ЧИТАКИИИИИИИИИИИИИИ,Posted: 20 Apr @ 10:30pm,35.8 hrs last two weeks / 35.8 hrs on record(31.3 hrs at review time),ван лов читакииииииииииииия,1
Not Recommended,мертвая игра,Posted: 20 Apr @ 10:30pm,"38.3 hrs last two weeks / 2,921.6 hrs on record(2,912.4 hrs at review time)",мёртвый игра,0
Recommended,крутая кс 2,Posted: 20 Apr @ 10:16pm,0.1 hrs last two weeks / 58.4 hrs on record(58.3 hrs at review time),крутой кс,1
Recommended,игра крутая,Posted: 20 Apr @ 10:15pm,36.6 hrs last two weeks / 456.5 hrs on record(453.6 hrs at review time),игра крутой,1
Not Recommended,полно читеров  игра раньше я ее любил пограть в матчмейкинг сейчас это невозможно каждую игру читеры бесите своим бездействием играю фейсит но искренне хотел бы играть спокойно с друзьями в ММ,Posted: 20 Apr @ 10:14pm,"11.1 hrs last two weeks / 3,306.8 hrs on record(3,301.5 hrs at review time)",полно читер игра любить пограть матчмейкинг невозможно каждый игра читер бесить свой бездействие играть фейсит искренне хотеть играть спокойно друг мм,0
Recommended,читеров много как оливье в новый год,Posted: 20 Apr @ 10:08pm,11.0 hrs last two weeks / 47.2 hrs on record(44.4 hrs at review time),читер оливье,1
Not Recommended,залупа,Posted: 20 Apr @ 9:58pm,24.6 hrs last two weeks / 191.4 hrs on record(188.9 hrs at review time),залупа,0
Recommended,", игра ",Posted: 20 Apr @ 9:48pm,0.0 hrs last two weeks / 689.2 hrs on record,игра,1
Recommended,"Говно, но я играю",Posted: 20 Apr @ 9:25pm,43.0 hrs last two weeks / 703.9 hrs on record(702.9 hrs at review time),говно играть,1
Recommended,Начал играть в эту игру год назад. Спустя год у меня появился парень и два отца. Рекомендую!!!,Posted: 20 Apr @ 9:17pm,14.7 hrs last two weeks / 52.2 hrs on record(50.9 hrs at review time),начать играть игра назад спустя появиться парень отец рекомендовать,1
Recommended,"это шедевр ,а не игра , единственный минус - ЧИТЕРЫ",Posted: 20 Apr @ 9:17pm,"0.6 hrs last two weeks / 1,685.0 hrs on record(1,684.4 hrs at review time)",шедевр игра единственный минус читер,1
Not Recommended,Ссаки,Posted: 20 Apr @ 9:09pm,0.0 hrs last two weeks / 119.4 hrs on record,ссак,0
Recommended,лучшая игра,Posted: 20 Apr @ 9:03pm,18.5 hrs last two weeks / 54.6 hrs on record(54.1 hrs at review time),хороший игра,1
Recommended,ачккурнуцеп,Posted: 20 Apr @ 8:52pm,26.4 hrs last two weeks / 114.6 hrs on record(114.3 hrs at review time),ачккурнуцеп,1
Not Recommended,"ЭТО БОЛЬШЕ НЕ ИГРА, ЭТО ПОМОЙКА, В КАЖДОЙ КАТКЕ ЧИТЕРЫ, НИКАКОГО АНТИЧИТА VALVE НЕ ПОСТАВИЛИ",Posted: 20 Apr @ 8:43pm,4.6 hrs last two weeks / 829.2 hrs on record,игра помойка каждый каток читер никакой античита valve поставить,0
Not Recommended,"Игра дерbмо! Оптимизация никакая, регистрация выстрелов хуже чем в играх 95 года, античит отключен, читеры заполонили игру! Верните CS:GO с функцией самому выносить приговор читорасам!",Posted: 20 Apr @ 8:36pm,2.8 hrs last two weeks / 898.5 hrs on record,игра дерbмый оптимизация никакой регистрация выстрел плохой игра 95 год античит отключить читер заполонить игра вернуть cs go функция выносить приговор читораса,0
Recommended,норм игра,Posted: 20 Apr @ 7:58pm,1.6 hrs last two weeks / 86.3 hrs on record(86.1 hrs at review time),норма игра,1
Recommended,ахуенно,Posted: 20 Apr @ 7:48pm,0.5 hrs last two weeks / 70.7 hrs on record(70.2 hrs at review time),ахуенно,1
Recommended,я гей,Posted: 20 Apr @ 7:16pm,5.1 hrs last two weeks / 330.0 hrs on record(329.9 hrs at review time),гей,1
Not Recommended,Читеры сыны  и ,Posted: 20 Apr @ 6:57pm,15.1 hrs last two weeks / 601.3 hrs on record,читер сын,0
Recommended,ва,Posted: 20 Apr @ 6:41pm,44.5 hrs last two weeks / 98.3 hrs on record(98.0 hrs at review time),ва,1
Recommended,все понравислоь,Posted: 20 Apr @ 6:23pm,3.3 hrs last two weeks / 11.7 hrs on record(10.8 hrs at review time),понравислоь,1
Recommended,игра  я остался без мамы в той игре,Posted: 20 Apr @ 6:14pm,16.2 hrs last two weeks / 144.1 hrs on record(140.5 hrs at review time),игра остаться мама тот игра,1
Recommended,итс окэй,Posted: 20 Apr @ 5:54pm,50.7 hrs last two weeks / 510.9 hrs on record(506.1 hrs at review time),итс окэя,1
